case_id,dtype,layout,m,n,k,groups,group_lengths,variable_capacity,allow_empty_groups,backend,blas_streams,warmup,samples,correctness_repeats
matrix_0017_bf16_tn_g16_m7168_n2048_k2120_c32757,bf16,TN,7168,2048,2120,16,2102;2120;2108;2092;2079;2047;1966;2048;2015;2006;2017;2014;2050;2079;2008;2006,32757,1,both,4,10,30,3
matrix_0018_bf16_tn_g16_m7168_n2048_k2120_c65536,bf16,TN,7168,2048,2120,16,2102;2120;2108;2092;2079;2047;1966;2048;2015;2006;2017;2014;2050;2079;2008;2006,65536,1,both,4,10,30,3
matrix_0019_bf16_nt_g16_m2120_n4096_k7168_c32757,bf16,NT,2120,4096,7168,16,2102;2120;2108;2092;2079;2047;1966;2048;2015;2006;2017;2014;2050;2079;2008;2006,32757,1,both,4,10,30,3
matrix_0020_bf16_nt_g16_m2120_n4096_k7168_c65536,bf16,NT,2120,4096,7168,16,2102;2120;2108;2092;2079;2047;1966;2048;2015;2006;2017;2014;2050;2079;2008;2006,65536,1,both,4,10,30,3
matrix_0021_bf16_nt_g16_m2120_n7168_k2048_c32757,bf16,NT,2120,7168,2048,16,2102;2120;2108;2092;2079;2047;1966;2048;2015;2006;2017;2014;2050;2079;2008;2006,32757,1,both,4,10,30,3
matrix_0022_bf16_nt_g16_m2120_n7168_k2048_c65536,bf16,NT,2120,7168,2048,16,2102;2120;2108;2092;2079;2047;1966;2048;2015;2006;2017;2014;2050;2079;2008;2006,65536,1,both,4,10,30,3
matrix_0023_bf16_nn_g16_m2120_n2048_k7168_c32757,bf16,NN,2120,2048,7168,16,2102;2120;2108;2092;2079;2047;1966;2048;2015;2006;2017;2014;2050;2079;2008;2006,32757,1,both,4,10,30,3
matrix_0024_bf16_nn_g16_m2120_n2048_k7168_c65536,bf16,NN,2120,2048,7168,16,2102;2120;2108;2092;2079;2047;1966;2048;2015;2006;2017;2014;2050;2079;2008;2006,65536,1,both,4,10,30,3
matrix_0025_fp16_nt_g1_m4096_n2048_k4096_c4096,fp16,NT,4096,2048,4096,1,4096,4096,1,both,4,10,30,3
matrix_0026_fp16_nn_g1_m4096_n2048_k4096_c4096,fp16,NN,4096,2048,4096,1,4096,4096,1,both,4,10,30,3
matrix_0027_fp16_tn_g1_m4096_n2048_k4096_c4096,fp16,TN,4096,2048,4096,1,4096,4096,1,both,4,10,30,3
matrix_0028_fp16_nt_g1_m4096_n3072_k4096_c4096,fp16,NT,4096,3072,4096,1,4096,4096,1,both,4,10,30,3
matrix_0029_fp16_nn_g1_m4096_n3072_k4096_c4096,fp16,NN,4096,3072,4096,1,4096,4096,1,both,4,10,30,3
matrix_0030_fp16_tn_g1_m4096_n3072_k4096_c4096,fp16,TN,4096,3072,4096,1,4096,4096,1,both,4,10,30,3
matrix_0031_fp16_nt_g1_m4096_n4096_k4096_c4096,fp16,NT,4096,4096,4096,1,4096,4096,1,both,4,10,30,3
matrix_0032_fp16_nn_g1_m4096_n4096_k4096_c4096,fp16,NN,4096,4096,4096,1,4096,4096,1,both,4,10,30,3
matrix_0033_fp16_tn_g1_m4096_n4096_k4096_c4096,fp16,TN,4096,4096,4096,1,4096,4096,1,both,4,10,30,3
matrix_0034_fp16_nt_g1_m4096_n5120_k4096_c4096,fp16,NT,4096,5120,4096,1,4096,4096,1,both,4,10,30,3
matrix_0035_fp16_nn_g1_m4096_n5120_k4096_c4096,fp16,NN,4096,5120,4096,1,4096,4096,1,both,4,10,30,3
matrix_0036_fp16_tn_g1_m4096_n5120_k4096_c4096,fp16,TN,4096,5120,4096,1,4096,4096,1,both,4,10,30,3
matrix_0037_fp16_nt_g1_m4096_n6144_k4096_c4096,fp16,NT,4096,6144,4096,1,4096,4096,1,both,4,10,30,3
matrix_0038_fp16_nn_g1_m4096_n6144_k4096_c4096,fp16,NN,4096,6144,4096,1,4096,4096,1,both,4,10,30,3
matrix_0039_fp16_tn_g1_m4096_n6144_k4096_c4096,fp16,TN,4096,6144,4096,1,4096,4096,1,both,4,10,30,3
matrix_0040_fp16_nt_g1_m4096_n7168_k4096_c4096,fp16,NT,4096,7168,4096,1,4096,4096,1,both,4,10,30,3
matrix_0041_fp16_nn_g1_m4096_n7168_k4096_c4096,fp16,NN,4096,7168,4096,1,4096,4096,1,both,4,10,30,3
matrix_0042_fp16_tn_g1_m4096_n7168_k4096_c4096,fp16,TN,4096,7168,4096,1,4096,4096,1,both,4,10,30,3
matrix_0043_fp16_nt_g1_m1024_n4096_k4096_c1024,fp16,NT,1024,4096,4096,1,1024,1024,1,both,4,10,30,3
matrix_0044_fp16_nn_g1_m1024_n4096_k4096_c1024,fp16,NN,1024,4096,4096,1,1024,1024,1,both,4,10,30,3
matrix_0045_fp16_tn_g1_m1024_n4096_k4096_c4096,fp16,TN,1024,4096,4096,1,4096,4096,1,both,4,10,30,3
matrix_0046_fp16_nt_g1_m2048_n4096_k4096_c2048,fp16,NT,2048,4096,4096,1,2048,2048,1,both,4,10,30,3
matrix_0047_fp16_nn_g1_m2048_n4096_k4096_c2048,fp16,NN,2048,4096,4096,1,2048,2048,1,both,4,10,30,3
matrix_0048_fp16_tn_g1_m2048_n4096_k4096_c4096,fp16,TN,2048,4096,4096,1,4096,4096,1,both,4,10,30,3
matrix_0049_fp16_nt_g1_m4096_n4096_k1024_c4096,fp16,NT,4096,4096,1024,1,4096,4096,1,both,4,10,30,3
matrix_0050_fp16_nn_g1_m4096_n4096_k1024_c4096,fp16,NN,4096,4096,1024,1,4096,4096,1,both,4,10,30,3
matrix_0051_fp16_tn_g1_m4096_n4096_k1024_c1024,fp16,TN,4096,4096,1024,1,1024,1024,1,both,4,10,30,3
matrix_0052_fp16_nt_g1_m4096_n4096_k2048_c4096,fp16,NT,4096,4096,2048,1,4096,4096,1,both,4,10,30,3
matrix_0053_fp16_nn_g1_m4096_n4096_k2048_c4096,fp16,NN,4096,4096,2048,1,4096,4096,1,both,4,10,30,3
matrix_0054_fp16_tn_g1_m4096_n4096_k2048_c2048,fp16,TN,4096,4096,2048,1,2048,2048,1,both,4,10,30,3
matrix_0055_fp16_nt_g1_m4096_n4096_k8192_c4096,fp16,NT,4096,4096,8192,1,4096,4096,1,both,4,10,30,3
matrix_0056_fp16_nn_g1_m4096_n4096_k8192_c4096,fp16,NN,4096,4096,8192,1,4096,4096,1,both,4,10,30,3
matrix_0057_fp16_tn_g1_m4096_n4096_k8192_c8192,fp16,TN,4096,4096,8192,1,8192,8192,1,both,4,10,30,3
matrix_0058_fp16_nt_g3_m4096_n2048_k4096_c12288,fp16,NT,4096,2048,4096,3,4096;4096;4096,12288,1,both,4,10,30,3
matrix_0059_fp16_nn_g3_m4096_n2048_k4096_c12288,fp16,NN,4096,2048,4096,3,4096;4096;4096,12288,1,both,4,10,30,3
matrix_0060_fp16_tn_g3_m4096_n2048_k4096_c12288,fp16,TN,4096,2048,4096,3,4096;4096;4096,12288,1,both,4,10,30,3
matrix_0061_fp16_nt_g3_m4096_n3072_k4096_c12288,fp16,NT,4096,3072,4096,3,4096;4096;4096,12288,1,both,4,10,30,3
matrix_0062_fp16_nn_g3_m4096_n3072_k4096_c12288,fp16,NN,4096,3072,4096,3,4096;4096;4096,12288,1,both,4,10,30,3
matrix_0063_fp16_tn_g3_m4096_n3072_k4096_c12288,fp16,TN,4096,3072,4096,3,4096;4096;4096,12288,1,both,4,10,30,3
matrix_0064_fp16_nt_g3_m4096_n4096_k4096_c12288,fp16,NT,4096,4096,4096,3,4096;4096;4096,12288,1,both,4,10,30,3
matrix_0065_fp16_nn_g3_m4096_n4096_k4096_c12288,fp16,NN,4096,4096,4096,3,4096;4096;4096,12288,1,both,4,10,30,3
matrix_0066_fp16_tn_g3_m4096_n4096_k4096_c12288,fp16,TN,4096,4096,4096,3,4096;4096;4096,12288,1,both,4,10,30,3
matrix_0067_fp16_nt_g3_m4096_n5120_k4096_c12288,fp16,NT,4096,5120,4096,3,4096;4096;4096,12288,1,both,4,10,30,3
matrix_0068_fp16_nn_g3_m4096_n5120_k4096_c12288,fp16,NN,4096,5120,4096,3,4096;4096;4096,12288,1,both,4,10,30,3
matrix_0069_fp16_tn_g3_m4096_n5120_k4096_c12288,fp16,TN,4096,5120,4096,3,4096;4096;4096,12288,1,both,4,10,30,3
matrix_0070_fp16_nt_g3_m4096_n6144_k4096_c12288,fp16,NT,4096,6144,4096,3,4096;4096;4096,12288,1,both,4,10,30,3
matrix_0071_fp16_nn_g3_m4096_n6144_k4096_c12288,fp16,NN,4096,6144,4096,3,4096;4096;4096,12288,1,both,4,10,30,3
matrix_0072_fp16_tn_g3_m4096_n6144_k4096_c12288,fp16,TN,4096,6144,4096,3,4096;4096;4096,12288,1,both,4,10,30,3
matrix_0073_fp16_nt_g3_m4096_n7168_k4096_c12288,fp16,NT,4096,7168,4096,3,4096;4096;4096,12288,1,both,4,10,30,3
matrix_0074_fp16_nn_g3_m4096_n7168_k4096_c12288,fp16,NN,4096,7168,4096,3,4096;4096;4096,12288,1,both,4,10,30,3
matrix_0075_fp16_tn_g3_m4096_n7168_k4096_c12288,fp16,TN,4096,7168,4096,3,4096;4096;4096,12288,1,both,4,10,30,3
matrix_0076_fp16_nt_g3_m1024_n4096_k4096_c3072,fp16,NT,1024,4096,4096,3,1024;1024;1024,3072,1,both,4,10,30,3
matrix_0077_fp16_nn_g3_m1024_n4096_k4096_c3072,fp16,NN,1024,4096,4096,3,1024;1024;1024,3072,1,both,4,10,30,3
matrix_0078_fp16_tn_g3_m1024_n4096_k4096_c12288,fp16,TN,1024,4096,4096,3,4096;4096;4096,12288,1,both,4,10,30,3
matrix_0079_fp16_nt_g3_m2048_n4096_k4096_c6144,fp16,NT,2048,4096,4096,3,2048;2048;2048,6144,1,both,4,10,30,3
matrix_0080_fp16_nn_g3_m2048_n4096_k4096_c6144,fp16,NN,2048,4096,4096,3,2048;2048;2048,6144,1,both,4,10,30,3
matrix_0081_fp16_tn_g3_m2048_n4096_k4096_c12288,fp16,TN,2048,4096,4096,3,4096;4096;4096,12288,1,both,4,10,30,3
matrix_0082_fp16_nt_g3_m4096_n4096_k1024_c12288,fp16,NT,4096,4096,1024,3,4096;4096;4096,12288,1,both,4,10,30,3
matrix_0083_fp16_nn_g3_m4096_n4096_k1024_c12288,fp16,NN,4096,4096,1024,3,4096;4096;4096,12288,1,both,4,10,30,3
matrix_0084_fp16_tn_g3_m4096_n4096_k1024_c3072,fp16,TN,4096,4096,1024,3,1024;1024;1024,3072,1,both,4,10,30,3
matrix_0085_fp16_nt_g3_m4096_n4096_k2048_c12288,fp16,NT,4096,4096,2048,3,4096;4096;4096,12288,1,both,4,10,30,3
matrix_0086_fp16_nn_g3_m4096_n4096_k2048_c12288,fp16,NN,4096,4096,2048,3,4096;4096;4096,12288,1,both,4,10,30,3
matrix_0087_fp16_tn_g3_m4096_n4096_k2048_c6144,fp16,TN,4096,4096,2048,3,2048;2048;2048,6144,1,both,4,10,30,3
matrix_0088_fp16_nt_g3_m4096_n4096_k8192_c12288,fp16,NT,4096,4096,8192,3,4096;4096;4096,12288,1,both,4,10,30,3
matrix_0089_fp16_nn_g3_m4096_n4096_k8192_c12288,fp16,NN,4096,4096,8192,3,4096;4096;4096,12288,1,both,4,10,30,3
matrix_0090_fp16_tn_g3_m4096_n4096_k8192_c24576,fp16,TN,4096,4096,8192,3,8192;8192;8192,24576,1,both,4,10,30,3
matrix_0091_fp16_nt_g4_m4096_n2048_k4096_c16384,fp16,NT,4096,2048,4096,4,4096;4096;4096;4096,16384,1,both,4,10,30,3
matrix_0092_fp16_nn_g4_m4096_n2048_k4096_c16384,fp16,NN,4096,2048,4096,4,4096;4096;4096;4096,16384,1,both,4,10,30,3
matrix_0093_fp16_tn_g4_m4096_n2048_k4096_c16384,fp16,TN,4096,2048,4096,4,4096;4096;4096;4096,16384,1,both,4,10,30,3
matrix_0094_fp16_nt_g4_m4096_n3072_k4096_c16384,fp16,NT,4096,3072,4096,4,4096;4096;4096;4096,16384,1,both,4,10,30,3
matrix_0095_fp16_nn_g4_m4096_n3072_k4096_c16384,fp16,NN,4096,3072,4096,4,4096;4096;4096;4096,16384,1,both,4,10,30,3
matrix_0096_fp16_tn_g4_m4096_n3072_k4096_c16384,fp16,TN,4096,3072,4096,4,4096;4096;4096;4096,16384,1,both,4,10,30,3
matrix_0097_fp16_nt_g4_m4096_n4096_k4096_c16384,fp16,NT,4096,4096,4096,4,4096;4096;4096;4096,16384,1,both,4,10,30,3
matrix_0098_fp16_nn_g4_m4096_n4096_k4096_c16384,fp16,NN,4096,4096,4096,4,4096;4096;4096;4096,16384,1,both,4,10,30,3
matrix_0099_fp16_tn_g4_m4096_n4096_k4096_c16384,fp16,TN,4096,4096,4096,4,4096;4096;4096;4096,16384,1,both,4,10,30,3
matrix_0100_fp16_nt_g4_m4096_n5120_k4096_c16384,fp16,NT,4096,5120,4096,4,4096;4096;4096;4096,16384,1,both,4,10,30,3
matrix_0101_fp16_nn_g4_m4096_n5120_k4096_c16384,fp16,NN,4096,5120,4096,4,4096;4096;4096;4096,16384,1,both,4,10,30,3
matrix_0102_fp16_tn_g4_m4096_n5120_k4096_c16384,fp16,TN,4096,5120,4096,4,4096;4096;4096;4096,16384,1,both,4,10,30,3
matrix_0103_fp16_nt_g4_m4096_n6144_k4096_c16384,fp16,NT,4096,6144,4096,4,4096;4096;4096;4096,16384,1,both,4,10,30,3
matrix_0104_fp16_nn_g4_m4096_n6144_k4096_c16384,fp16,NN,4096,6144,4096,4,4096;4096;4096;4096,16384,1,both,4,10,30,3
matrix_0105_fp16_tn_g4_m4096_n6144_k4096_c16384,fp16,TN,4096,6144,4096,4,4096;4096;4096;4096,16384,1,both,4,10,30,3
matrix_0106_fp16_nt_g4_m4096_n7168_k4096_c16384,fp16,NT,4096,7168,4096,4,4096;4096;4096;4096,16384,1,both,4,10,30,3
matrix_0107_fp16_nn_g4_m4096_n7168_k4096_c16384,fp16,NN,4096,7168,4096,4,4096;4096;4096;4096,16384,1,both,4,10,30,3
matrix_0108_fp16_tn_g4_m4096_n7168_k4096_c16384,fp16,TN,4096,7168,4096,4,4096;4096;4096;4096,16384,1,both,4,10,30,3
matrix_0109_fp16_nt_g4_m1024_n4096_k4096_c4096,fp16,NT,1024,4096,4096,4,1024;1024;1024;1024,4096,1,both,4,10,30,3
matrix_0110_fp16_nn_g4_m1024_n4096_k4096_c4096,fp16,NN,1024,4096,4096,4,1024;1024;1024;1024,4096,1,both,4,10,30,3
matrix_0111_fp16_tn_g4_m1024_n4096_k4096_c16384,fp16,TN,1024,4096,4096,4,4096;4096;4096;4096,16384,1,both,4,10,30,3
matrix_0112_fp16_nt_g4_m2048_n4096_k4096_c8192,fp16,NT,2048,4096,4096,4,2048;2048;2048;2048,8192,1,both,4,10,30,3
matrix_0113_fp16_nn_g4_m2048_n4096_k4096_c8192,fp16,NN,2048,4096,4096,4,2048;2048;2048;2048,8192,1,both,4,10,30,3
matrix_0114_fp16_tn_g4_m2048_n4096_k4096_c16384,fp16,TN,2048,4096,4096,4,4096;4096;4096;4096,16384,1,both,4,10,30,3
matrix_0115_fp16_nt_g4_m4096_n4096_k1024_c16384,fp16,NT,4096,4096,1024,4,4096;4096;4096;4096,16384,1,both,4,10,30,3
matrix_0116_fp16_nn_g4_m4096_n4096_k1024_c16384,fp16,NN,4096,4096,1024,4,4096;4096;4096;4096,16384,1,both,4,10,30,3
matrix_0117_fp16_tn_g4_m4096_n4096_k1024_c4096,fp16,TN,4096,4096,1024,4,1024;1024;1024;1024,4096,1,both,4,10,30,3
matrix_0118_fp16_nt_g4_m4096_n4096_k2048_c16384,fp16,NT,4096,4096,2048,4,4096;4096;4096;4096,16384,1,both,4,10,30,3
matrix_0119_fp16_nn_g4_m4096_n4096_k2048_c16384,fp16,NN,4096,4096,2048,4,4096;4096;4096;4096,16384,1,both,4,10,30,3
matrix_0120_fp16_tn_g4_m4096_n4096_k2048_c8192,fp16,TN,4096,4096,2048,4,2048;2048;2048;2048,8192,1,both,4,10,30,3
matrix_0121_fp16_nt_g4_m4096_n4096_k8192_c16384,fp16,NT,4096,4096,8192,4,4096;4096;4096;4096,16384,1,both,4,10,30,3
matrix_0122_fp16_nn_g4_m4096_n4096_k8192_c16384,fp16,NN,4096,4096,8192,4,4096;4096;4096;4096,16384,1,both,4,10,30,3
matrix_0123_fp16_tn_g4_m4096_n4096_k8192_c32768,fp16,TN,4096,4096,8192,4,8192;8192;8192;8192,32768,1,both,4,10,30,3
matrix_0124_fp16_nt_g5_m4096_n2048_k4096_c20480,fp16,NT,4096,2048,4096,5,4096;4096;4096;4096;4096,20480,1,both,4,10,30,3
matrix_0125_fp16_nn_g5_m4096_n2048_k4096_c20480,fp16,NN,4096,2048,4096,5,4096;4096;4096;4096;4096,20480,1,both,4,10,30,3
matrix_0126_fp16_tn_g5_m4096_n2048_k4096_c20480,fp16,TN,4096,2048,4096,5,4096;4096;4096;4096;4096,20480,1,both,4,10,30,3
matrix_0127_fp16_nt_g5_m4096_n3072_k4096_c20480,fp16,NT,4096,3072,4096,5,4096;4096;4096;4096;4096,20480,1,both,4,10,30,3
matrix_0128_fp16_nn_g5_m4096_n3072_k4096_c20480,fp16,NN,4096,3072,4096,5,4096;4096;4096;4096;4096,20480,1,both,4,10,30,3
matrix_0129_fp16_tn_g5_m4096_n3072_k4096_c20480,fp16,TN,4096,3072,4096,5,4096;4096;4096;4096;4096,20480,1,both,4,10,30,3
matrix_0130_fp16_nt_g5_m4096_n4096_k4096_c20480,fp16,NT,4096,4096,4096,5,4096;4096;4096;4096;4096,20480,1,both,4,10,30,3
matrix_0131_fp16_nn_g5_m4096_n4096_k4096_c20480,fp16,NN,4096,4096,4096,5,4096;4096;4096;4096;4096,20480,1,both,4,10,30,3
matrix_0132_fp16_tn_g5_m4096_n4096_k4096_c20480,fp16,TN,4096,4096,4096,5,4096;4096;4096;4096;4096,20480,1,both,4,10,30,3
matrix_0133_fp16_nt_g5_m4096_n5120_k4096_c20480,fp16,NT,4096,5120,4096,5,4096;4096;4096;4096;4096,20480,1,both,4,10,30,3
matrix_0134_fp16_nn_g5_m4096_n5120_k4096_c20480,fp16,NN,4096,5120,4096,5,4096;4096;4096;4096;4096,20480,1,both,4,10,30,3
matrix_0135_fp16_tn_g5_m4096_n5120_k4096_c20480,fp16,TN,4096,5120,4096,5,4096;4096;4096;4096;4096,20480,1,both,4,10,30,3
matrix_0136_fp16_nt_g5_m4096_n6144_k4096_c20480,fp16,NT,4096,6144,4096,5,4096;4096;4096;4096;4096,20480,1,both,4,10,30,3
matrix_0137_fp16_nn_g5_m4096_n6144_k4096_c20480,fp16,NN,4096,6144,4096,5,4096;4096;4096;4096;4096,20480,1,both,4,10,30,3
matrix_0138_fp16_tn_g5_m4096_n6144_k4096_c20480,fp16,TN,4096,6144,4096,5,4096;4096;4096;4096;4096,20480,1,both,4,10,30,3
matrix_0139_fp16_nt_g5_m4096_n7168_k4096_c20480,fp16,NT,4096,7168,4096,5,4096;4096;4096;4096;4096,20480,1,both,4,10,30,3
matrix_0140_fp16_nn_g5_m4096_n7168_k4096_c20480,fp16,NN,4096,7168,4096,5,4096;4096;4096;4096;4096,20480,1,both,4,10,30,3
matrix_0141_fp16_tn_g5_m4096_n7168_k4096_c20480,fp16,TN,4096,7168,4096,5,4096;4096;4096;4096;4096,20480,1,both,4,10,30,3
matrix_0142_fp16_nt_g5_m1024_n4096_k4096_c5120,fp16,NT,1024,4096,4096,5,1024;1024;1024;1024;1024,5120,1,both,4,10,30,3
matrix_0143_fp16_nn_g5_m1024_n4096_k4096_c5120,fp16,NN,1024,4096,4096,5,1024;1024;1024;1024;1024,5120,1,both,4,10,30,3
matrix_0144_fp16_tn_g5_m1024_n4096_k4096_c20480,fp16,TN,1024,4096,4096,5,4096;4096;4096;4096;4096,20480,1,both,4,10,30,3
matrix_0145_fp16_nt_g5_m2048_n4096_k4096_c10240,fp16,NT,2048,4096,4096,5,2048;2048;2048;2048;2048,10240,1,both,4,10,30,3
matrix_0146_fp16_nn_g5_m2048_n4096_k4096_c10240,fp16,NN,2048,4096,4096,5,2048;2048;2048;2048;2048,10240,1,both,4,10,30,3
matrix_0147_fp16_tn_g5_m2048_n4096_k4096_c20480,fp16,TN,2048,4096,4096,5,4096;4096;4096;4096;4096,20480,1,both,4,10,30,3
matrix_0148_fp16_nt_g5_m4096_n4096_k1024_c20480,fp16,NT,4096,4096,1024,5,4096;4096;4096;4096;4096,20480,1,both,4,10,30,3
matrix_0149_fp16_nn_g5_m4096_n4096_k1024_c20480,fp16,NN,4096,4096,1024,5,4096;4096;4096;4096;4096,20480,1,both,4,10,30,3
matrix_0150_fp16_tn_g5_m4096_n4096_k1024_c5120,fp16,TN,4096,4096,1024,5,1024;1024;1024;1024;1024,5120,1,both,4,10,30,3
matrix_0151_fp16_nt_g5_m4096_n4096_k2048_c20480,fp16,NT,4096,4096,2048,5,4096;4096;4096;4096;4096,20480,1,both,4,10,30,3
matrix_0152_fp16_nn_g5_m4096_n4096_k2048_c20480,fp16,NN,4096,4096,2048,5,4096;4096;4096;4096;4096,20480,1,both,4,10,30,3
matrix_0153_fp16_tn_g5_m4096_n4096_k2048_c10240,fp16,TN,4096,4096,2048,5,2048;2048;2048;2048;2048,10240,1,both,4,10,30,3
matrix_0154_fp16_nt_g5_m4096_n4096_k8192_c20480,fp16,NT,4096,4096,8192,5,4096;4096;4096;4096;4096,20480,1,both,4,10,30,3
matrix_0155_fp16_nn_g5_m4096_n4096_k8192_c20480,fp16,NN,4096,4096,8192,5,4096;4096;4096;4096;4096,20480,1,both,4,10,30,3
matrix_0156_fp16_tn_g5_m4096_n4096_k8192_c40960,fp16,TN,4096,4096,8192,5,8192;8192;8192;8192;8192,40960,1,both,4,10,30,3
matrix_0157_fp16_nt_g8_m4096_n2048_k4096_c32768,fp16,NT,4096,2048,4096,8,4096;4096;4096;4096;4096;4096;4096;4096,32768,1,both,4,10,30,3
matrix_0158_fp16_nn_g8_m4096_n2048_k4096_c32768,fp16,NN,4096,2048,4096,8,4096;4096;4096;4096;4096;4096;4096;4096,32768,1,both,4,10,30,3
matrix_0159_fp16_tn_g8_m4096_n2048_k4096_c32768,fp16,TN,4096,2048,4096,8,4096;4096;4096;4096;4096;4096;4096;4096,32768,1,both,4,10,30,3
matrix_0160_fp16_nt_g8_m4096_n3072_k4096_c32768,fp16,NT,4096,3072,4096,8,4096;4096;4096;4096;4096;4096;4096;4096,32768,1,both,4,10,30,3
matrix_0161_fp16_nn_g8_m4096_n3072_k4096_c32768,fp16,NN,4096,3072,4096,8,4096;4096;4096;4096;4096;4096;4096;4096,32768,1,both,4,10,30,3
matrix_0162_fp16_tn_g8_m4096_n3072_k4096_c32768,fp16,TN,4096,3072,4096,8,4096;4096;4096;4096;4096;4096;4096;4096,32768,1,both,4,10,30,3
matrix_0163_fp16_nt_g8_m4096_n4096_k4096_c32768,fp16,NT,4096,4096,4096,8,4096;4096;4096;4096;4096;4096;4096;4096,32768,1,both,4,10,30,3
matrix_0164_fp16_nn_g8_m4096_n4096_k4096_c32768,fp16,NN,4096,4096,4096,8,4096;4096;4096;4096;4096;4096;4096;4096,32768,1,both,4,10,30,3
matrix_0165_fp16_tn_g8_m4096_n4096_k4096_c32768,fp16,TN,4096,4096,4096,8,4096;4096;4096;4096;4096;4096;4096;4096,32768,1,both,4,10,30,3
matrix_0166_fp16_nt_g8_m4096_n5120_k4096_c32768,fp16,NT,4096,5120,4096,8,4096;4096;4096;4096;4096;4096;4096;4096,32768,1,both,4,10,30,3
matrix_0167_fp16_nn_g8_m4096_n5120_k4096_c32768,fp16,NN,4096,5120,4096,8,4096;4096;4096;4096;4096;4096;4096;4096,32768,1,both,4,10,30,3
